r,c,f,cover@DAPI,MaxIntensity@CY3,MinIntensity@CY3,MedianIntensity@CY3,sat_cell_ratio@CY3,MaxIntensity@CY5,MinIntensity@CY5,MedianIntensity@CY5,sat_cell_ratio@CY5,MaxIntensity@FRET,MinIntensity@FRET,MedianIntensity@FRET,sat_cell_ratio@FRET,error,msg,sat_cnt,dyn_cnt
2.0,2.0,1.0,0.0864951989026063,21010.0,66.0,195.0,0.0,17879.0,44.0,185.0,0.0,7067.0,47.0,169.0,0.0,20,,0.0,0.0
2.0,2.0,2.0,0.07915123456790124,34018.0,64.0,200.0,0.0,28638.0,40.0,187.0,0.0,8085.0,56.0,170.0,0.0,20,,0.0,0.0
2.0,2.0,3.0,0.13281464334705076,27953.0,43.0,198.0,0.0,22251.0,47.0,188.0,0.0,7136.0,33.0,171.0,0.0,20,,0.0,0.0
2.0,2.0,4.0,0.12583762002743484,41980.0,47.0,203.0,0.0,37199.0,46.0,190.0,0.0,10447.0,47.0,174.0,0.0,20,,0.0,0.0
2.0,2.0,5.0,0.16147119341563787,46758.0,48.0,200.0,0.0,39380.0,53.0,188.0,0.0,9381.0,49.0,172.0,0.0,20,,0.0,0.0
2.0,3.0,1.0,0.11172325102880658,40996.0,59.0,195.0,0.0,33707.0,31.0,183.0,0.0,8926.0,47.0,168.0,0.0,20,,0.0,0.0
2.0,3.0,2.0,0.07294838820301783,34357.0,69.0,203.0,0.0,30485.0,71.0,192.0,0.0,7596.0,45.0,173.0,0.0,20,,0.0,0.0
2.0,3.0,3.0,0.15986968449931413,42757.0,61.0,197.0,0.0,34989.0,64.0,185.0,0.0,8312.0,40.0,169.0,0.0,20,,0.0,0.0
2.0,3.0,4.0,0.19530435528120713,45117.0,78.0,203.0,0.0,42966.0,62.0,190.0,0.0,11139.0,44.0,173.0,0.0,20,,0.0,0.0
2.0,3.0,5.0,0.1936531207133059,38926.0,62.0,201.0,0.0,28311.0,58.0,189.0,0.0,7542.0,45.0,172.0,0.0,20,,0.0,0.0
2.0,4.0,1.0,0.17322788065843622,33763.0,54.0,197.0,0.0,26670.0,63.0,185.0,0.0,7071.0,31.0,169.0,0.0,20,,0.0,0.0
2.0,4.0,2.0,0.11063957475994513,51578.0,78.0,203.0,0.0,45750.0,58.0,193.0,0.0,10120.0,8.0,174.0,0.0,20,,0.0,0.0
2.0,4.0,3.0,0.17071244855967077,31703.0,72.0,202.0,0.0,24367.0,63.0,190.0,0.0,7227.0,43.0,174.0,0.0,20,,0.0,0.0
2.0,4.0,4.0,0.2167712620027435,41209.0,73.0,201.0,0.0,41938.0,56.0,189.0,0.0,11931.0,46.0,171.0,0.0,20,,0.0,0.0
